업소명,소재지도로명주소,소재지지번주소,address,latitude,longitude,chain
엔제리너스가양아름다운아울렛점,서울특별시 강서구 양천로 476,서울특별시 강서구 등촌동 73-1 (지상 7층) 5호,서울특별시 강서구 등촌동 73-1,126.853271958466,37.5616001805127,엔제리너스
투썸플레이스우장산역,서울특별시 강서구 강서로 259,서울특별시 강서구 내발산동 723-2 우장산역엠버리움빌딩 (지상 1~2층) 101호 201~202호 ,서울특별시 강서구 내발산동 723-2,126.835997635372,37.5488727643728,투썸플레이스
롯데컬쳐웍스(주)롯데시네마 김포공항 엔제리너스,서울특별시 강서구 하늘길 38,서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지상 1층) ,서울특별시 강서구 방화동 886-0,126.80296035927,37.5713698504776,엔제리너스
엔제리너스 롯데몰 김포공항2호점,서울특별시 강서구 하늘길 38,서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,서울특별시 강서구 방화동 886-0,126.80296035927,37.5713698504776,엔제리너스
투썸플레이스 가양역점,서울특별시 강서구 양천로 504,서울특별시 강서구 등촌동 628-11 청산빌딩 (지상 1층) ,서울특별시 강서구 등촌동 628-11,126.855983323007,37.5603846515059,투썸플레이스
스타벅스커피 까치산역점,서울특별시 강서구 강서로13길 3,서울특별시 강서구 화곡동 343-1 외 1필지 동진빌딩 (지하 1층~지상 1층) ,서울특별시 강서구 화곡동 343-1,126.846103558968,37.5323081654783,스타벅스
엔제리너스 김포공항1층점,서울특별시 강서구 하늘길 112,서울특별시 강서구 공항동 1373-0 국내선청사 (지상 1층) ,서울특별시 강서구 공항동 1373-0,126.803355336745,37.5587841523495,엔제리너스
엔제리너스 김포공항역사점,서울특별시 강서구 하늘길 지하 77,서울특별시 강서구 방화동 886 김포공항역 지하2층 ,서울특별시 강서구 방화동 886,126.801278424065,37.562313207852,엔제리너스
투썸플레이스 양천향교역점,서울특별시 강서구 강서로 460,서울특별시 강서구 등촌동 682-0 평안빌딩 (지상 1층) 102~105호 ,서울특별시 강서구 등촌동 682-0,126.841106001932,37.5663257425795,투썸플레이스
스타벅스커피 염창역점,서울특별시 강서구 공항대로 627,서울특별시 강서구 염창동 282-23 (지상 1층) ,서울특별시 강서구 염창동 282-23,126.874538741651,37.5472872158845,스타벅스
스타벅스커피 발산역점,서울특별시 강서구 강서로 388,서울특별시 강서구 등촌동 678-14 그랜드백화점 (지상 1층) 주차장동 ,서울특별시 강서구 등촌동 678-14,126.839308151992,37.5601872593484,스타벅스
투썸플레이스 등촌역점,서울특별시 강서구 공항대로 519,서울특별시 강서구 등촌동 648-4 (지상 1층) ,서울특별시 강서구 등촌동 648-4,126.864130888419,37.5517696060508,투썸플레이스
스타벅스커피 등촌점,서울특별시 강서구 공항대로 329,서울특별시 강서구 등촌동 668-9 (지상 1층) ,서울특별시 강서구 등촌동 668-9,126.844322656779,37.5582609804535,스타벅스
스타벅스커피 화곡동점,서울특별시 강서구 화곡로 142,"서울특별시 강서구 화곡동 1073-10 외 12필지 메가박스 (지상 1~2층) 112~113, 205호 ",서울특별시 강서구 화곡동 1073-10,126.83756888925,37.5405888148954,스타벅스
투썸플레이스 개화산역점,서울특별시 강서구 양천로 28,서울특별시 강서구 방화동 849-0 벽산에어트리움 (지상 1층) 본관동 126~127호,서울특별시 강서구 방화동 849-0,126.806994113323,37.5723030060453,투썸플레이스
투썸플레이스 까치산역점,서울특별시 강서구 강서로 43,"서울특별시 강서구 화곡동 343-52 도양라비앙타워 1층, 지하1층 ",서울특별시 강서구 화곡동 343-52,126.846538170813,37.5316222588337,투썸플레이스
투썸플레이스(신방화역점),서울특별시 강서구 방화대로 294,"서울특별시 강서구 마곡동 739-1 마곡더블유타워 (지상 1~2층) 118~9, 210호 ",서울특별시 강서구 마곡동 739-1,126.817080090346,37.5670376164659,투썸플레이스
스타벅스 양천향교역,서울특별시 강서구 강서로 463,서울특별시 강서구 마곡동 776-6 새싹타워 (지상 1층) 1~2호,서울특별시 강서구 마곡동 776-6,126.840446253714,37.5669463591713,스타벅스
스타벅스 화곡DT점,서울특별시 강서구 등촌로 57,서울특별시 강서구 화곡동 772-67 (지상1~3층) ,서울특별시 강서구 화곡동 772-67,126.86318804786,37.5350107501795,스타벅스
스타벅스 가양역점,서울특별시 강서구 양천로 476,서울특별시 강서구 등촌동 73-1 금부빌딩 (지상1층) A호,서울특별시 강서구 등촌동 73-1,126.853271958466,37.5616001805127,스타벅스
스타벅스 마곡GMG점,서울특별시 강서구 마곡중앙6로 16,서울특별시 강서구 마곡동 773-2 마곡지엠지타워 (지상 1층) 117일부~120호 ,서울특별시 강서구 마곡동 773-2,126.829006208171,37.5604015515818,스타벅스
스타벅스 마곡나루역점,서울특별시 강서구 마곡중앙로 161-17,"서울특별시 강서구 마곡동 759-3 보타닉파크타워1, 105,203,204호 ",서울특별시 강서구 마곡동 759-3,126.8259696813,37.5680411582871,스타벅스
스타벅스 방화DT,서울특별시 강서구 방화대로 375,서울특별시 강서구 방화동 293-4 외 2필지 세움빌딩 (지상 2~3층) ,서울특별시 강서구 방화동 293-4,126.816318581652,37.5744889167589,스타벅스
더벤티 NC강서점,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689 엔씨백화점 (지하 1층) ,서울특별시 강서구 등촌동 689,126.840498784915,37.559933531546,더벤티
투썸플레이스 마곡점,서울특별시 강서구 마곡중앙6로 40,서울특별시 강서구 마곡동 774-8 장흥빌딩 ,서울특별시 강서구 마곡동 774-8,126.831531874791,37.5601329915788,투썸플레이스
더벤티 롯데마트김포공항점,서울특별시 강서구 하늘길 38,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티 (지하 2층) ",서울특별시 강서구 방화동 886,126.80296035927,37.5713698504776,더벤티
투썸플레이스 강서구청점,서울특별시 강서구 화곡로 347,"서울특별시 강서구 화곡동 1095-0 그랜드아이파크 (지상 1~2층) 115~116, 2호",서울특별시 강서구 화곡동 1095-0,126.851250232655,37.5548546834697,투썸플레이스
스타벅스 우장산역점,서울특별시 강서구 강서로 267,서울특별시 강서구 내발산동 719-6 송화쇼핑센터 (지상 1층) 014~017호,서울특별시 강서구 내발산동 719-6,126.835941270275,37.5496000614643,스타벅스
스타벅스 마곡사이언스타워R점,서울특별시 강서구 마곡동로 62,서울특별시 강서구 마곡동 796-3 마곡사이언스타워 (지상 1~2층) ,서울특별시 강서구 마곡동 796-3,126.833890184435,37.5605537644679,스타벅스
투썸플레이스 마곡나루역점,서울특별시 강서구 마곡중앙5로 6,서울특별시 강서구 마곡동 760-0 마곡나루역보타닉푸르지오시티 (지상 1~2층) 157~240호,서울특별시 강서구 마곡동 760-0,126.827554917518,37.5673140391214,투썸플레이스
CGV등촌 투썸플레이스,서울특별시 강서구 공항대로45길 63,서울특별시 강서구 등촌동 639-23 (지상3층) ,서울특별시 강서구 등촌동 639-23,126.856001180153,37.5578690013942,투썸플레이스
더벤티 마곡나루역점,서울특별시 강서구 마곡중앙로 161-11,서울특별시 강서구 마곡동 760-1 힐스테이트에코마곡나루역라마다앙코르서울(지상 1층) A동 110호,서울특별시 강서구 마곡동 760-1,126.826720979429,37.5679745986878,더벤티
스타벅스 발산역사거리점,서울특별시 강서구 공항대로 248,"서울특별시 강서구 마곡동 801-2 1~2층 104,105,106,107,203,204호 ",서울특별시 강서구 마곡동 801-2,126.83491411299,37.5584081270031,스타벅스
더벤티 까치산역점,서울특별시 강서구 강서로 52,서울특별시 강서구 화곡동 341-65 화곡판타지아(지상 1층) 108호,서울특별시 강서구 화곡동 341-65,126.846690598628,37.5324910211764,더벤티
더벤티 마곡역점,서울특별시 강서구 마곡서로 56,서울특별시 강서구 마곡동 798-4 (지상 1층) 104호,서울특별시 강서구 마곡동 798-4,126.823921126728,37.5590004170099,더벤티
스타벅스 마곡역점,서울특별시 강서구 공항대로 168,서울특별시 강서구 마곡동 798-3 1층 101~104호 ,서울특별시 강서구 마곡동 798-3,126.826136981493,37.5592736391913,스타벅스
더벤티양천향교역점,서울특별시 강서구 마곡동로10길 23,서울특별시 강서구 마곡동 776 마곡파크뷰대방디엠시티오피스텔(지상 1층) 133호,서울특별시 강서구 마곡동 776,126.839355910873,37.5686751510585,더벤티
엔제리너스 롯데몰김포영풍문고점,서울특별시 강서구 하늘길 38,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티, GF층 ",서울특별시 강서구 방화동 886,126.80296035927,37.5713698504776,엔제리너스
더벤티,서울특별시 강서구 강서로45길 9,서울특별시 강서구 화곡동 1006 1층 ,서울특별시 강서구 화곡동 1006,126.835640361502,37.5477983683664,더벤티
투썸플레이스등촌로점,서울특별시 강서구 등촌로 177,"서울특별시 강서구 등촌동 719 경남파크빌(지상 1~2층), 101~201호 ",서울특별시 강서구 등촌동 719,126.862059380121,37.5457985430564,투썸플레이스
투썸플레이스 마곡역점,서울특별시 강서구 마곡중앙로 59-9,"서울특별시 강서구 마곡동 798-9 (지상 1~2층) 101~102,201~204호 ",서울특별시 강서구 마곡동 798-9,126.825618624661,37.5588352609761,투썸플레이스
투썸플레이스 화곡역점,서울특별시 강서구 강서로 163,서울특별시 강서구 화곡동 1075-3 콤마빌딩 1~2층 ,서울특별시 강서구 화곡동 1075-3,126.840345915343,37.5412413213065,투썸플레이스
폴바셋 강서부민병원점,서울특별시 강서구 공항대로 389,서울특별시 강서구 등촌동 657 부민병원 1층 ,서울특별시 강서구 등촌동 657,126.850904790759,37.5568628399174,폴바셋
스타벅스 강서구청사거리점,서울특별시 강서구 화곡로 350,"서울특별시 강서구 화곡동 1111 SJ라벨라 1층 104, 105, 106,107호 ",서울특별시 강서구 화곡동 1111,126.852209910209,37.55480957734,스타벅스
더벤티 개화산역점,서울특별시 강서구 양천로10길 38,서울특별시 강서구 방화동 904 신마곡벽산블루밍 판매시설2동 105동 106호 ,서울특별시 강서구 방화동 904,126.808641305119,37.571005283099,더벤티
스타벅스 등촌대로점,서울특별시 강서구 공항대로 543,"서울특별시 강서구 염창동 274-17 센터스퀘어(지상 1층) 104-2.105,106 ",서울특별시 강서구 염창동 274-17,126.866412265444,37.5507388549618,스타벅스
더벤티,서울특별시 강서구 화곡로 158,서울특별시 강서구 화곡동 1074-17 세림빌딩 1층 ,서울특별시 강서구 화곡동 1074-17,126.839204790182,37.5410784040909,더벤티
투썸플레이스 발산W타워점,서울특별시 강서구 공항대로 222,서울특별시 강서구 마곡동 800-4 발산W타워 101~102호 ,서울특별시 강서구 마곡동 800-4,126.832173382942,37.5586687054378,투썸플레이스
스타벅스 가양역사거리점,서울특별시 강서구 화곡로 416,서울특별시 강서구 등촌동 628-9 가양역 더스카이밸리5차 지식산업센터1층 ,서울특별시 강서구 등촌동 628-9,126.855419700734,37.5600240146894,스타벅스
스타벅스 강서NC점,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689 NC 강서점 1층 일부 ,서울특별시 강서구 등촌동 689,126.840498784915,37.559933531546,스타벅스
더벤티 가양역점,서울특별시 강서구 양천로 492,서울특별시 강서구 등촌동 78-7 외 1필지 길훈엔트런스빌 1층 104호,서울특별시 강서구 등촌동 78-7,126.854626804611,37.560875023018,더벤티
더벤티강서구청사거리점,서울특별시 강서구 화곡로64길 2,서울특별시 강서구 등촌동 656 경동미르웰한올림 1층 101호,서울특별시 강서구 등촌동 656,126.853561105277,37.5572806227804,더벤티
투썸플레이스 강서등촌한빛점,서울특별시 강서구 공항대로45길 33,서울특별시 강서구 등촌동 656-37 한빛어반뉴스토리 1~2층 101호 ,서울특별시 강서구 등촌동 656-37,126.854982329604,37.5567758366078,투썸플레이스
스타벅스 내발산점,서울특별시 강서구 강서로 323,"서울특별시 강서구 내발산동 668 101,102호 ",서울특별시 강서구 내발산동 668,126.836553620481,37.5546704615225,스타벅스
투썸플레이스 강서등촌3동점,서울특별시 강서구 공항대로41길 34,서울특별시 강서구 등촌동 700 플러스존 102호,서울특별시 강서구 등촌동 700,126.84571196058,37.5592796685251,투썸플레이스
스타벅스 마곡웰튼점,서울특별시 강서구 마곡중앙5로 22,"서울특별시 강서구 마곡동 759-2 1층 104,105,106호 ",서울특별시 강서구 마곡동 759-2,126.825303015866,37.5672498211268,스타벅스
더벤티 공항시장역점,서울특별시 강서구 공항대로3길 38,서울특별시 강서구 공항동 22-56 가동 103호,서울특별시 강서구 공항동 22-56,126.810637794742,37.5632097635415,더벤티
스타벅스 강서우장산점,서울특별시 강서구 강서로 231,"서울특별시 강서구 화곡동 1170 우장산역 해링턴 타워 116, 117, 118, 119, 120호 ",서울특별시 강서구 화곡동 1170,126.836117683731,37.546244810291,스타벅스
스타벅스 김포공항DT점,서울특별시 강서구 개화동로 517,서울특별시 강서구 방화동 645-6 ,서울특별시 강서구 방화동 645-6,126.806047276966,37.5662952468095,스타벅스
스타벅스 화곡역8번출구점,서울특별시 강서구 강서로 179,서울특별시 강서구 화곡동 1051-27 1층 일부호,서울특별시 강서구 화곡동 1051-27,126.839322200876,37.5423627575293,스타벅스
투썸플레이스 강서화곡로,서울특별시 강서구 화곡로 228,서울특별시 강서구 화곡동 24-484 대원빌딩 1층 ,서울특별시 강서구 화곡동 24-484,126.844938724079,37.5454040184884,투썸플레이스
더벤티커피(theVenti COFFEE) 등촌2동점,서울특별시 강서구 등촌로 173,서울특별시 강서구 등촌동 513-1 3호,서울특별시 강서구 등촌동 513-1,126.862143168452,37.5454022015772,더벤티
